tanggal,judul,narasi
18-Feb-18,Tanda Yang Dikira Teror Itu Ternyata Untuk Kegiatan Pramuka,Tanda yang Dikira Teror Itu Ternyata untuk Kegiatan Pramuka
29-Jan-18,Akibat Kecanduan Main Game Di Hp Ini Lah Akibatx,"Akibat kecanduan main game di Hp ini lah akibatx
 Penyesalan gak bakal datang diawal pasti diakhir
 Apa yg ditanam it pula yg dituai
 .
 Sayangi anakkita jng dibiasakan main hp akibatx fatal gararadiasi"
16-Dec-17,"Hina Panglima Tni Dan Jokowi Di Medsos, Dokter Di Sumbar Ditangkap","Hina Panglima TNI dan Jokowi di Medsos, Dokter di Sumbar Ditangkap"
12-Jul-17,: Motif Pembacokan Hermansyah Karena Kasus Chat Rizieq Shihab,Motif Pembacokan Hermansyah Karena Kasus Chat Rizieq Shihab
17-Mar-16,Pengungsi Syria Dilempari Koin Oleh Suporter Klub Sepakbola Psv Eindhoven Di Spanyol,Saya belum tahu sumbernya darimana. video ini katanya memperlihatkan pengungsi Syria dilempari recehan dan disoraki penduduk lokal Spanyol (memalukan
5-Aug-20,Dakta 107 Fm: Klaim Obat Corona Hadi Pranoto,"Bersama Aribowo Sasmito, Co-Founder & Ketua Komite Pemeriksa Fakta MAFINDO"
16-Nov-18,Pernyataan Pihak Kepolisian Terkait Acara Peringatan 4 Tahunan Jemaah Khilafatul Muslimin Yang Akan Diadakan Di Masjid Akbar Kemayoran,GAGAL MENDAPATKAN IZIN DI POLRES BOGOR MEREKA MELANJUTKAN RENCANA KE MESJID AKBAR KEMAYORAN WARGA JAKARTA NU BANSER DAN SELURUH RAKYAT YANG MENCINTAI NKRI SEGERA LAKUKAN LANGKAH AKSI MENGHADANG SEL TERORIS BERSELIMUT KHILAFAH INI ! @ZheeOmega
03-Agu-18,Knpi Sumut Bantah Terima Mobil Bekas Dprd Sumut,"Saya tidak menerima mobil apapun dari pemerintah, dan tidak mengajukan apapun,"
3-Mar-17,Dana Santunan Haji Korban Kecelakaan Mekkah 2015 Ditahan Oleh Kemenlu,"*Valid*
 Sangat luar biasa zholim!
 Masih ingat peristiwa Crane di Masjidil Haram?
 Kerajaan Saudi bertanggung jawab dan akan menyantuni para korban, tnyata sudah cair sejak lama tapi belum disalurkan kepada korban oleh Kemlu, dengan alasan masih verifikasi!
 brp lama verifikasinya pak?
 Sampai kapan itu diverifikasi?
 Sementara kafir Harbi, Syiah dan kelompok munafik terus menerus membuat fitnah kepada Arab Saudi."
14-Dec-16,Wna Pendiri Organisasi Masyarakat Fbi,"Isu yang beredar di media sosial ialah Forum Bhayangkara Indonesia didirikan oleh warga negara asing (WNA). Adapun, isu tersebut dikaitkan dengan penandatanganan Peraturan Pemerintah (PP) Nomor 59 Tahun 2016 tentang Organisasi Kemasyarakatan Yang Didirikan Oleh Warga Negara Asing pada 2 Desember 2016 oleh Presiden Joko Widodo."
18-May-19,"Dianggap Lecehkan Guru, Iklan Hago Diprotes","Jadi, itukah yang diinginkan oleh pemerintah kita dalam pembentukan karakter anak-anak kita di sekolah? Sudah di rumahnya sulit dikontrol oleh orangtuanya, ehh  di sekolah sekarang malah didukung bermain games online dan akan masuk kurikulum."
09-Agu-18,Polda Nusa Tenggara Barat Mengklarifkasi Bahwa Tidak Ada Kejadian Perkosaan Turis Perancis Di Gili Trawangan Lombok,Belum lama ini beredar kabar bahwa terjadi kasus pemerkosaan tehadap turis asal Perancis di Gili Trawangan Lombok.
22-Feb-18,Guru Penyebar Hoax Soal Megawati Minta Adzan Ditiadakan Ditangkap,Guru Penyebar Hoax Soal Megawati Minta Adzan Ditiadakan Ditangkap
19-Sep-17,: Membedah Tulisan Alfian Tanjung Yang Berjudul Manuver Pki Membelit Istana,Membedah Tulisan Alfian Tanjung yang Berjudul Manuver PKI Membelit Istana
2-Jun-17,Telkomsel Memiliki Bukti Percakapan Whatsapp Habib Rizieq Dengan Firza Husein,Portal daring seword.com dalam sebuah artikel berjudul Fix! Data Telkomsel Buktikan Chat Rizieq-Firza Asli menggiring opini dan meyakinkan publik bahwa Telkomsel memiliki bukti data Bahwa percakapan whatsapp Habib Rizieq dan Firza Husein asli.
20-Nov-16,Menyebarkan Hoax Merupakan Tindakan Melanggar Hukum,"Salah satu penyebab marak tersebarnya hoax adalah ketidaktahuan masyarakat bahwa menyebarkan hoax atau berita bohong merupakan tindakan yang melanggar undang-undang. Sebab, dalam undang-undang yang berlaku di Indonesia, penyebar hoax dan hasut merupakan tindakan melawan hukum"
5-Apr-19,Fakta Sesungguhnya Terkait Video Deklarasi Keluarga Ibu Kandung Prabowo Di Minahasa Mendukung Jokowi Dalam Pilpres 2019,Keluarga Prabowo di Sulawesi Utara mendukung @jokowi  #WongKitoCoblosJokowi
12-Sep-18,Kabareskrim Usut Situs Palsu Catut Namanya,"Itu situs abal-abal yang mengatasnamakan dan mencatut nama saya. Bersama ini saya sampaikan semua yang ada di dalam situs itu adalah palsu. Sedang kita selidiki, kata Arief Rabu (12/9)."
21-Agu-18,"Bayi Meninggal Karena Lahir Tanpa Bidan, Kapuskesmas Kading Bone Beri Klarifikasi","Kepala Puskesmas Kading, dr.Kasmawar Abbas : Puskesmas kading, puskesmas non rawat inap, sehingga pelayanan tidak ada 24 jam."
24-Jul-18,Ustaz Fadlan Garamatan Tidak Maju Sebagai Caleg Dari Pdip,"Kaum muslimin dan muslimat di mana saja berada, saya tidak pernah menandatangani calon dari partai PDIP, itu adalah fitnah, itu adalah hoaks yang dilakukan sekelompok orang untuk merusak dakwah saya dan merusak kegiatan saya."
18-Jul-18,"Kondisi Wilayahnya Disebut Tidak Aman, Bupati Nduga Papua Beri Klarifikasi","Bupati Nduga Papua, Yarius Gwijangge : Saya berterimakasih kepada TNI Polri karena telah bekerja keras untuk menstabilkan keamanan di Nduga. Terkait isu keamanan di Nduga tidak aman di media sosial itu tidak benar dan Hoax,"
6-Jun-18,Kapolres Gresik Tak Pernah Minta Thr Kepada Masyarakat Dan Perusahaan Di Gresik,"Tadi siang hari Selasa tanggal 5 Juni 2018 anggota Sekber DPC SPSB Kabupaten Gresik yang ditelpon seseorang. Dalam komunikasi itu intinya oknum tersebut mengaku sebagai Kapolres Gresik dan meminta THR. Untungnya anggota serikat pekerja itu langsung klarifikasi ke saya. Dan saya jelaskan bahwa tidak ada permintaan THR,"
24-Apr-18,"Ketik #Aktif Di Facebook Kembalikan Foto Profil Yang Hilang, Hoaks Atau Fakta?","Padahal, masalah foto profil yang hilang tiba-tiba tak pernah eksis. Informasi yang dipaparkan laman tersebut bisa dipastikan tidak benar alias hoaks.  Terlebih, tiga tahap solusi yang diberikan laman Pengguna FB Lite Indonesia identik dengan pengumbar hoaks yang sudah-sudah."
5-Jan-18,"Simalakama Jokowi, Anut Mazhab Washington Consensus, Sri Mulyani Gunakan Tax Amnesti Untuk Keruk Uang Pajak","Mazhab Washington Consensus yg dianut Sri Mulyani menjadi pedoman bertindak dalam urusan pajak, salah satu dari 10 (sepuluh) pokok rekomendasi Washington Consensus adalah : Reformasi Pajak, dengan memperluas basis pemungutan pajak. "
18-Dec-17,Mafindo Kampanyekan Lawan Hoax Di Depok Bersama Kepolisian,"Masyarakat Antifitnah Indonesia (Mafindo) Chapter Depok semakin aktif mengkampanyekan dan mensosialisasikan ke para warga di Depok, untuk berani menolak menyebarkan berita hoax "
2-Nov-17,Sapi Menangis Peluk Pemiknya Sebelum Disembelih,SUBHABALLAH.KASIHAN.SAPI MENANGIS PELUK PEMIKNYA SEBELUM DISEMBELIH.DAN DAN DAGING BERLAPADZ ALLAH.MOGA YANG LIKE KOMENTAR SERTA BERBAGI MENDAPAT RIZKI YANG TAK DI SANGKA SANGKA .AAMIIN ALLAH HUMMA AAMIIN.ASSALAMUALAIKUM WAROHMATULOHI WABAROKATUH SAHABAT (.MOGA BERKENAN DI HATI.NIAT BAIK KARENA ALLAH.YANG ENGGA SUKA ABAIKAN.ALLAH HUAKBARKUASA ALLAH.
8-Feb-17,Cara Melaporkan Situs Dan Konten Yang Tidak Pantas Ke Google,Cara Melaporkan Situs dan Konten yang Tidak Pantas ke Google
27-Dec-16,Kawal Surat Al-Hujurat 6: Melawan Hoax,Kawal Surat Al-Hujurat 6: Melawan Hoax
7-Mar-18,Klarifikasi Polri Tentang Larangan Penggunaan Gps Saat Mengemudi,"Setyo menambahkan, polisi menilai penggunaan GPS berbahaya saat berkendara jika pengendara tiba-tiba berhenti tanpa menepi di jalan. Ya berhenti dulu, minggir, jangan tiba-tiba berhenti di tengah jalan atau sambil berkendara membuka aplikasi. Jadi dengan adanya teknologi jangan malah kita kembali tanpa aturan, tegas dia."
13-Feb-18,"Rieke : Memang Saya Pki, Ada Yang Salah?","Hmmmmmmmm.
 Rieke : Memang saya PKI, ada yang salah?"
2-Jan-18,Sekte Kristen Meniru Islam,INNALILLAHI WAINNA LILLAHI ROZIUN. Hati-hati jumpa dengan jodoh penganut ini! Akhwat berjilbab dalam gereja Islamkah? Bukan ini kristen orthodoks Suriah yang ada di Indonesia.
10-Nov-17,Perjuangan Situs Kebencian Mengemas Omong Kosong,PERJUANGAN SITUS KEBENCIAN MENGEMAS OMONG KOSONG
25-Apr-17,Ini Penyebab Upaya Mengatasi Hoax Akan Jadi Sia-Sia,"Facebook, Google, and Twitter (but especially Facebook) dont make any more money by supporting journalism. The worst fake news ever written is, that these companies somehow have a reason to care about good journalism. Facebooks stock wont skyrocket if its users share a hard-earned and important scoop over some meme. Sean Blanda, Co-founder of Technically Media."
9-Aug-20,"Sempat Sebut Hoaks, Pasar Jaya Akui Ada Pedagang Pasar Mayestik Positif","Sempat Sebut Hoaks, Pasar Jaya Akui Ada Pedagang Pasar Mayestik Positif"
26-Mar-20,Lipi Ungkap Teori Virus Corona Covid-19 Bukan Senjata Biologi,"Peneliti bidang mikrobiologi LIPI Sugiyono Saputra mengatakan virus SARS-CoV-2 tidak memiliki kesamaan gen dengan virus corona lain seperti flu, MERS hingga SARS 2002."
18-Jul-18,Metodologi Perang Informasi,Memerangi HOAX konteksnya bukan pro Jokowi atau anti Jokowi
18-May-18,Pengibaran Bendera Israel Dalam Acara Di Jayapura,"Kami gak tau harus bicara apa.
 Tapi Ini bukan di israel atau USA.
 Tapi di Indonesia, tepatnya di GOR Waringin kotaraja Jayapura, dalam suatu Acara kebaktian budaya bangsa ke 12.
 Mana Pemerintah setempat?
 Mana Pemerintah pusat?
 Bagaimana pendapat para sahabat?"
22-Mar-18,Tni Mengklarifikasi Bahwa Kapal Motor Cepat  Komando Ad-1605 Tenggelam Bukan Karena Kelebihan Muatan,"Hasil investigasi sementara karena adanya kebocoran dari pipa strainer 
yang fungsinya untuk menyedot air laut sebagai pendingin mesin induk dan
 mesin bantu serta tingginya ombak saat itu,"
31-Dec-17,Dari Jusuf Kalla: Perjuangan Moral Jokowi,"Dari Jusuf Kalla :
Re-send
PERJUANGAN MORAL JOKOWI.
Wakil Presiden Jusuf Kalla (JK) dalam sambutan acara Simposium Ekonomi di gedung MPR, Senayan, mengatakan ada 2 kebijakan keliru yang dilakukan pemerintah sehingga menghabiskan anggaran Rp 6000 triliun. Kebijakan itu menjadi salah satu penyebab ketertinggalan Indonesia dari negara-negara tetangga. Satu kebijakan era Soeharto dan satu lagi era SBY.*"
8-Mar-18,Sri Lanka Blokir Facebook Dan Whatsapp Buntut Kerusuhan Antaragama,Sri Lanka Blokir Facebook dan Whatsapp Buntut Kerusuhan Antaragama
21-Feb-18,"Jangankan Anies Yang Di Acuhkan, Bahkan Seorang Raja Di Tanah Jawa Pun Juga Merasakan Hal Yang Sama","Jangankan Anies yg di acuhkan, bahkan seorang raja di tanah Jawa pun juga merasakan hal yang sama.
 Apa artinya?"
2-Feb-18,Video Tikus Sedang Mandi Layaknya Manusia,Video dengan durasi 20 detik yang memperlihatkan seekor hewan mirip tikus sedang mandi layaknya manusia.
14-Feb-17,Mobil Bagian Belakang Ditempel Orang Jahat Sticker Palu Arit Logo Komunis,Info penting: bagi pengemudi mobil agar berhati hati saat parkir kendaraannya. Temen habis jalan dari parkiran di.berhentikan oleh polisi dikarenakan mobil bagian belakang ditempel orang jahat sticker palu arit logo komunis. Temen dibawa ke kantor polisi diperiksa sampe skrg masih blom pulang. Sebaiknya periksa dulu disekeliling mobil sebelum jalan. Sebarkan ke grup WA.
26-Apr-19,Cokelat Mermaid Memakan Korban,"Untuk yg punya ANAK-ANAK KECIL DIRUMAH !

Ati* jajanan PERMEN-COKLATMEMATIKAN!

Korban tonggo kampung"
26-Mar-19,Penjelasan Haikal Hassan Terkait Cuitannya Yang Mendukung Jokowi Dan Sebut Prabowo Tidak Jumatan Malah Minum Bir,"Malam semua, Mohon maaf semoga teman-teman tidak kecewa, Jumat kemarin melihat dengan mata ane sendiri prabowo tidak sholat jumat malah minum bir di ambarukmo jogja. Ane sedih melihat kondisi ini. Dengan ini ane menyatakan akan mendukung Jokowi-Maruf Amin."
19-Feb-19,Penjelasan Terkait Pernyataan Prabowo Soal Impor Air Di Debat Capres,Wkwkwkgaes ada yg tahu gak sejak kapan yahhh kita impor air ! Helloowwww.yang bener aja wo kalau ngomong. Welehweleh dasar kang hoax! Airrr mana airrr! #DebatPintarJokowi #DebatMantulJokowi#prabowongaco
12-Dec-18,Klarifikasi Kepolisian Terkait Aturan Kendaraan Bermotor Yang Stnk Mati Selama 2 Tahun Menjadi Bodong,"Untuk aturan itu (penghapusan data registrasi kendaraan) belum kita operasionalkan. Kalau itu diberlakukan, pasti ada peringatan dan sosialisasi ke masyarakat dulu,"
25-Jul-18,Kpud Dki Jakarta Belum Temukan Nama Mantan Wali Kota Jakpus Yang Dikabarkan Maju Caleg Dari Pdi-P,"Gubernur DKI Jakarta, Anies Baswedan yang sempat mendengar kabar tersebut mengaku gembira."
22-May-18,Tidak Ada 7 Teroris Di Bengkulu,"Kabid Humas Polda Bengkulu AKBP Sudarno saat dikonfirmasi mengatakan kabar tersebut tidak benar. Hoaks itu, katanya saat dikonfirmasi melalui Whatsapp, Senin (21/5/2018) malam"
12-Feb-18,Megawati Minta Pemerintah Tiadakan Azan,"Megawati oh megawati (disertai link berita dengan judul MEGA WATI MINTA PEMERINTAH TIADAKAN ADZAN DI MASJID, KARNA SUARANYA BERISIK)."
5-Jan-18,Mengerikan Lihat Video Ini: Agama Baru Yang Meniru Islam,"Assalamu alaikum.
Tlg bantu sebarkan/viralkan.
MENGERIKAN LIHAT VIDEO INI: AGAMA BARU YG MENIRU ISLAM, HARUS BACA!
BERITA GEMPAR DARI
INDONESIA.
Agama baru kristian ortodok dari Syria & Lebanon. Gereja spt Masjid. Bila denger bacaan mereka itu macam alunan ayat Al-Quran. "
5-Oct-17,Dorongan Mengembalikan Dwi Fungsi Abri/Tni?,DIRGAHAYU HUT TNI YANG KE  72. HAPUSKAN KOMUNISME (PKI). KEMBALIKAN DWI FUNGSI ABRI/TNI.
26-Sep-17,Aksi 299 Untuk Menolak Pencabutan Tap Mprs Soal Pki?,Aksi 299 demi Tolak Pencabutan TAP MPRS soal PKI
14-May-19,Klarifikasi Divisi Humas Polri Terkait Informasi Anak China Ancam Tembak Jokowi Dibebaskan,"POLISI DAGELAN, ANAK CHINA ANCAM TEMBAK JOKOWI DIBEBASKAN DENGAN DALIH LUCU LUCUAN. ANAK PRIBUMI ANCAM PENGGAL JOKOWI LANGSUNG DITANGKAP & DIANCAM HUKUMAN MATI, SELAMAT DATANG DI NEGARA BAGIAN RRC YANG BERNAMA INDONESIA"
16-Jul-18,"Klarifikasi Kuasa Hukum Buni Yani Terkait Judul Artikel Buni Yani: Saya Diterlantarkan Setelah Ahok Masuk Penjara, Saya Menyesal Mencelakai Ahok",Saya memastikan sebagai kuasa hukum Buni Yani @BuniYani
17-Apr-18,Klarifikasi Kemendagri Perihal Pembahasan Ruu Masyarakat Adat,"Jadi belum merupakan suatu keputusan. Itu semuanya atas dasar pembahasan
 dengan enam kementerian dan lembaga. Jadi itu sebagai laporan. namun 
pada hakikatnya Mendagri dan jajarannya adalah tetap akan melaksanakan 
dan juga mendukung, menindaklanjuti pembahasan kaitannya masyarakat 
hukum adat,"
7-Apr-18,Ini Klarifikasi Bppt Soal Kajian Potensi Tsunami Pandeglang,"Masyarakat tidak perlu khawatir dengan pemberitaan ini. Permohonan maaf 
BPPT kepada masyarakat Indonesia yang terdampak sekiranya hasil studi 
awal potensi tsunami di Jawa bagian barat, yang seharusnya hanya untuk 
konsumsi akademis ini, telah membuat keresahan masyarakat,"
10-Sep-17,Laporan Kementerian Bumn 29 Agustus 2017,"LAPORAN KEMENTERIAN BUMN 29 AGUSTUS 2017;
 PENDAPATAN118 PERUSAHAAN BUMN DI 13 JENIS INDUSTRI :
 PENDAPATAN MEROSOT DARI Rp 2,116 Triliun ( Semester 1 2016) MENJADI Rp. 936 TRILIUN (semester1 2017)."
29-Jun-17,: Putra Sulung Jokowi Dituding Sebagai Pendukung Teori Bumi Datar,Putra Sulung Jokowi Dituding Sebagai Pendukung Teori Bumi Datar
19-Feb-17,Perlakuan Berbeda Antara Gnpf Mui Dengan Teman Ahok Terkait Sumbangan Dana Di Hadapan Polri,"GNPF- Dana sedekah umat jelas sumbernya dan penggunaannya, Dipolisikan
 Teman Ahok : Dana sumbangan untuk kegiatan poltik dan tidak jelas sumbernya. Dibiarkan.
 Kok beda perlakuannya? Apakah umat tidak boleh bersedekah"
21-Jan-17,Presiden Jokowi Diledek Korban Kebakaran Saat Mendatangi Pasar Senen Yang Terbakar,Hua ha ha si Kutil mau nya cari muka biar di bilang peduli sama musibah dan di cap sebagai SUPER HERO ternyata rakyat sudah pada encer otak nya
20-Jan-17,Ikatan Jurnalis Tv Indonesia Melawan Hoax,"Pernyataan Sikap bersama Jurnalis Ikatan Jurnalis Televisi Indonesia (IJTI), Pemerintah, Dewan Pers, KPI, Polri, TNI dan Masyarakat, terkait informasi bohong (HOAX). Deklarasi anti Hoax ini dibacakan dalam kegiatan Kongres ke V dan Simposium Nasional IJTI"
14-Nov-16,": Saksi Meringankan Ahok, Ulama Mesir Temui Jokowi Di Istana Negara.",Beredar Info yang di sebar di sosmed bahwa presiden Joko Widodo menerima saksi ahli dari mesir di Istana atau mendatangkan untuk membantu terlapor
24-Sep-18,Pihak Kepolisian Dan The Jakmania Bantah Melakukan Sweeping Plat D Di Halim Perdana Kususma Semalam,"Beredar sebuah pesan berantai di aplikasi whatsapp yang menyebutkan warga Bandung dan sekitarnya agar berhati-hati karena para jakmania sedang melakukan sweeping kendaraan ber plat D di daerah Halim Perdana Kusuma. Diketahui, plat D merupakan nomor identitas kendaraan bermotor dari Bandung."
19-Agu-18,"Viral Karnaval Tk Bercadar Dan Bersenjata, Ini Penjelasan Sekolah","Pakaian peserta pawai budaya di Probolinggo yang mengenakan jubah dan bercadar hitam serta menenteng replika senjata viral di media sosial. Sontak, cara perpakaian itu mendapat sorotan dari warganet"
25-Oct-17,Bijaksana Memilih Sumber Berita Online,bijaksana memilih sumber berita online
20-Oct-17,Cetak E-Ktp Di Nusantara Expo Tmii Bisa Langsung Jadi,"Mau share info buat temen2 yg E-KTP nya belum jadi2 masih dalam bentuk surat keterangan, bisa cetak KTP langsung jadi di pameran KEMENDAGRI di Keong Mas TMII sampai hari minggu 22 oktober 2017. Barangkali ada keluarga, tetangga, temen dll yg udah lama KTP nya gak jadi2, cukup bawa surat keterangannya aja kesana.
 Pelayanan dari jam 8 pagi  4 sore ya."
8-Sep-17,"Mesranya Biksu Myanmar Dan Syiah, Usai Bantai Muslim Rohingya","Mesranya Biksu Myanmar dan Syiah, Usai Bantai Muslim Rohingya"
4-Mar-17,Halaman Surat Kabar Berbahasa Arab Memprotes Sikap Pemerintah Indonesia Karena Dianggap Kurang Memiliki Tata Krama Terhadap Raja Salman,"Dengan bantuan google translate dari Chrome Browser, dapat diketahui bahwa isi surat kabar tersebut sama sekali tidak membahas tentang apa yang diklaim oleh kedua akun di atas."
3-Apr-19,Dugaan Pelanggaran Pemilu Di Acara Singkawang Bersholawat,Cek video pertama.
26-Jul-18,The Guardian: Saya Merasa Jijik: Di Dalam Pabrik Akun Twitter Palsu Di Indonesia,"Keberanian harian asal Inggris The Guardian membongkar modus pabrik pembuat akun palsu pendukung Ahok telah menggegerkan publik Indonesia Senin, 23 Juli 2018"
5-Jun-18,"Klarifikasi Rebecca, Wanita Yang Dituding Tembak Razan Al-Najjar","Tapi sekali lagi, bukan dia yang membunuh Razan"
6-Apr-18,"Hoax Bendera Terbalik, Panglima Tni Disebut Goblok","Hoax Bendera Terbalik, Panglima TNI Disebut Goblok"
5-Apr-18,Klarifikasi @Susipudjiastuti Mengenai Mensupport 20 Bis Dari Pangandaran Untuk Aksi 411,"Untold Story:
 
 Kesaksian Tuan Guru Bajang @tgbID tentang Ibu @susipudjiastuti yang mensupport 20 bis dari pangandaran untuk aksi 411
 
 Demi Allah gw terharu! Semoga Bu Susi kelak tergolong orang2 yg husnul KhotimahAamiin YRA"
15-Mar-18,"Klarifikasi Terkait Insiden Pengusiran Anggota Dprd Kabupaten Kepulauan Mentawai Dan Dprd Sumbar Di Kawasan Resort Aloita, Mentawai","Ini hanya salah paham saja, saat itu kita menyampaikan tidak bisa menyandar di dermaga, karena sedang direnovasi, anda bisa mendaratkan kapal hanya lewat pantai,"
10-Feb-18,"Musuh Sudah Di Depan Mata, Perlawanan Pki Dan Penculikan Akan Segera Di Laksanakan","Dapat foto dari Group Mujahid.
 Musuh sudah di depan Mata, perlawanan PKI dan Penculikan akan segerah di laksanakan.
 Umat Islam waspada.
 Negara siaga 1"
19-Feb-17,Foto Bareng Anies Baswedan Dengan Ulama Petinggi Isis Yusuf Al-Qaradhawi,"Kog bisa ya mereka berfotoan bareng dg mesra. Bukankah yusuf qardawi adl ulama tertinggi isis dan al aeda!
 Ada apa dg anies?
 Masih ingat perang antara isis dg jabahbal nusra. Abu bakarval bahgdadi memohon fatwa kpd yusuf al qardawi"
09-Okt-18,Klarifikasi Kementerian Luar Negeri Terkait Isu Pelarangan Anak Habib Rizieq Masuk Yaman,Semua WNA dilarang. Yang melarang mereka menyeberang perbatasan adalah Pemerintah Oman
7-Jul-18,"Doktor Yang Jadi Pemulung Sampah Ini, Ternyata Adiknya Pramodya Ananta Toer","Soesilo Ananta Toer , yang tidak lain adalah adik Pramodya Ananta Toer."
3-Jul-18,Bi Bantah Kebijakan Kpr Dp 0% Mencontoh Anies - Sandi,Kredit Pemilikan Rumah (KPR) tanpa uang (Down Payment/DP)
4-Nov-17,Kita Ketawain Aja Hoaknya Kaum Bumi Datar,"Kita ketawain aja HOAKnya kaum bumi datar
Ini anak siapa
-gbr nyolong di google
-yg penting cina
-matanya sifit
-kulit putih
SD nya fiktif"
17-Dec-16,Plat Nomor Negara Asing Di Indonesia,"NEGARAKU SUDAH DIMAKAR !
 Bukan cuma orang ASING boleh memiliki asset di Indonesia dan orang ASING boleh menjalankan aktifitas intelijennya dgn nama ORMAS Tetapi Orang ASING pun boleh mengendarai mobilnya dengan PLAT NOMOR NEGARA nya di JAKARTA."
12-Feb-19,Klarifikasi Petani Kulonprogo Yang Semprot Mati Lahan Cabai,"Memang ada pemakaian semacam herbisida, tetapi itu saya lakukan semata mata untuk menghemat ongkos tenaga kerja. Jadi bukan karena saya dan para petani disini putus asa dengan harga murah, tapi skema pola tanamnya memang harus beralih dengan komuditas lain"
27-Agu-18,Rajin Makan Wortel Dapat Menyembuhkan Mata Minus ?,Rajin Makan Wortel Dapat Menyembuhkan Mata Minus ?
4-Mar-18,Topik Pilihan Hoaks Atau Fakta Di Kompas.Com,Topik Pilihan HOAKS ATAU FAKTA di Kompas.com
24-Jan-18,Sebaran Hoaks Di Tengah Kepanikan Bencana,"Gempa berkekuatan 6,1 SR yang terjadi kemarin siang tak hanya melahirkan kepanikan, namun juga sejumlah hoaks yang disebar entah apa tujuannya. Hingga Selasa malam (23/1), setidaknya ada tiga kabar bohong yang menyamar sebagai informasi sungguhan.
 1. Video Truk dan Mobil Goyang [.]
 2. Foto Jalan Retak [.]"
24-Jan-17,Vox Hoax Vox Dei / Suara Hoax Suara Tuhan,VOX HOAX VOX DEI / SUARA HOAX SUARA TUHAN
6-Aug-16,Google Maps Tak Cantumkan Negara Palestina,"Tak pernah ada label Palestina di Google Maps, ujar seorang juru bicara Google dalam sebuah pernyataan yang dirangkum KompasTekno dari Fortune, Jumat (12/8/2016)."
20-Oct-18,Kementrian Agama Bantah Sertifikat Perizinan Untuk Kelompok Bimbingan Ibadah Haji,"MENTERI AGAMA REPUBLLIK INDONESIA

Memberikan Ijin Operasional Penyelenggaraan Ibadah Haji dan Umrah serta
Kelompok Bimbingan Ibadah Haji, kepada: (NAMA TERTENTU)"
10-Okt-18,Klarifikasi Bnpb Terkait Isu Pengusiran Relawan Bpbd,Justru adanya kehadiran relawan sejak H+3 (2/10) dengan mendirikan tenda-tenda relawan BPBD
21-Sep-18,Kejati Kaltim Bantah Telah Keluarkan Rekomendasi Pengawasan Proyek Masjid Pemprov Kaltim Di Kinibalu,"Kasi Penerangan Hukum dan Humas Kejati Kaltim, Acin Muksin menegaskan, pihaknya tidak memasang plang tersebut dan belum mengeluarkan rekomendasi pengawasan proyek tersebut."
3-Apr-18,Klarifikasi Grab Indonesia Terkait Dukungan Forum Komunikasi Grab Lampung  Kepada Salah Satu Pasangan Calon Pilgub Lampung,"Terkait pemberitaan mengenai dukungan sejumlah mitra pengemudi Grab 
kepada salah satu pasangan kandidat Gubernur Lampung melalui kunjungan 
ke Posko Tim Kerja Pemenangan, bersama ini kami sampaikan bahwa 
kunjungan tersebut merupakan suatu aktivitas yang dilakukan oleh salah 
satu organisasi perkumpulan mitra pengemudi Grab di Lampung, tanpa 
adanya keterlibatan dari Grab sebagai perusahaan"
22-Mar-18,Lippo Group Tetap Gaji Para Marketing Meikarta Dan Menjaga Invenstornya,"Enggak bener lah. Viral begitu banyak. Itu kita sangat menyesalkan viral begitu, tapi kita enggak ada lah. Mana ada. Kalau seseorang punya hal digaji tapi enggak digaji itu kan sesuatu masalah besar. Enggak bener secara prinsip. Nggak benar begitu"
6-Feb-18,Video Siswa Pelaku Pembunuhan Guru Di Sampang Tengah Sakau/Mabuk,"Sakau, Inikah Siswa P*mb*nuh gurunya di Sampang?"
23-Oct-15,Kebakaran Hutan Di Kalimantan Tengah,"Kebakaran Hutan di Kalimantan Tengah
 [] Ini Hoak atau Fakta? []"
26-Jul-19,Pt Pos Indonesia Membantah Isu Telah Bangkrut,"Pernyataan resmi apakah pos bangkrut jawabannya tidak, indikatornya banyak bahwa kenapa tidak akan bangkrut dalam periode diduga itu. Apakah kita akan lay off karyawan, apakah kita menunda pembayaran-pembayaran kewajiban ke pihak ketiga, semua lancar"
12-Mar-19,Dinas Perhubungan Beri Penjelasan Terkait Flyer Tiket Kapal Digratiskan Saat Jembatan Suramadu Ditutup,"Karena Ada Acara Millennial Road Safety Festival dan Pembersihan Jembatan Suramadu
JEMBATAN SURAMADU DITUTUP SEMENTARA"
1-Dec-18,Klarifikasi Bpn Prabowo - Sandi Tentang Situs Ktp Prabowo,"KTP Prabowo itu bukan dari BPN Prabowo-Sandi. Itu tidak resmi dari kami, tim sukses. Infonya dari relawan,"
6-Nov-18,Kemenhub Klarifikasi Terkait Isu Pilot Indonesia Banyak Yang Tidak Lulus Ujian Simulator Airbus Di Australia,"Al Jazeera merilis kabar bahwa ternyata pilot di maskapai penerbangan di Indonesia ada yang tidak lulus tes simulator pesawat di Australia. Anehnya, begitu pulang ke Indonesia, mendapat izin terbang."
08-Agu-18,Kepolisian Ntb Bantah Adanya Kabar Perampokan Di Kopang Pasca Gempa Lombok,Dibunuh salah seorang perampok di kopang berdekatan dengan polsek
